 Date, Team, Acquired, Relinquished, Notes
2009-12-11, Magic, , • Jameer Nelson, recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
 Date, Team, Acquired, Relinquished, Notes
2009-12-11, Nets, , • Keyon Dooling, sore hip flexors (DNP)
2009-12-11, Warriors, , • Andris Biedrins, osteitis pubis (DNP)
2009-12-11, Warriors, , • Ronny Turiaf, sprained left knee (DNP)
2009-12-11, Heat, , • Daequan Cook, eye injury (DTD)
2009-12-12, Mavericks, , • Josh Howard, sore left ankle (DTD)
2009-12-12, Nuggets, , • Malik Allen, flu (DTD)
2009-12-13, Hawks, , • Marvin Williams, upset stomach (DNP)
2009-12-13, Heat, • Daequan Cook, , returned to lineup
2009-12-13, Nets, , • Keyon Dooling, sore hip flexors (DNP)
2009-12-13, Nets, , • Tony Battie, strained right groin (P) / knee injury (CBC) (DNP)
2009-12-14, Magic, , • Jameer Nelson, recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
2009-12-14, Warriors, , • Andris Biedrins, osteitis pubis (DNP)
2009-12-14, Warriors, , • Ronny Turiaf, sprained left knee (DNP)
2009-12-15, Blazers, , • Greg Oden, recovering from surgery on left knee to repair fractured kneecap (DNP)
2009-12-15, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2009-12-15, Blazers, , • Travis Outlaw, recovering from surgery on left foot to repair stress fracture (DNP)
2009-12-15, Hornets, , Ike Diogu, microfracture surgery on left knee (out for season)
2009-12-15, Kings, , • Sean May, hamstring injury (DTD)
2009-12-15, Nets, , • Keyon Dooling, sore hip flexors (DNP)
2009-12-15, Nets, , • Tony Battie, strained right groin (DNP) (P)
2009-12-16, Kings, , • Sean May, strained right hamstring (DNP)
2009-12-16, Nets, , • Keyon Dooling, sore hip flexors (DNP)
2009-12-16, Nets, , • Tony Battie, strained right groin (DNP)
2009-12-16, Pistons, , • Richard Hamilton, sore right hamstring (DNP)
2009-12-16, Warriors, , • Andris Biedrins, strained lower back (DNP)
 Date, Team, Acquired, Relinquished, Notes
2009-12-16, Warriors, , • Mikki Moore, bone spurs in right heel (DNP)
2009-12-16, Warriors, , • Ronny Turiaf, sprained left knee (DNP)
2009-12-17, 76ers, , • Allen Iverson, left knee injury (DTD)
2009-12-17, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2009-12-17, Blazers, , • Travis Outlaw, recovering from surgery on left foot to repair stress fracture (DNP)
2009-12-18, 76ers, , • Allen Iverson, arthritis in left knee (DTD)
2009-12-18, Kings, , • Jon Brockman, strained lower back (DNP)
2009-12-18, Warriors, , • Andris Biedrins, strained lower back (DNP)
2009-12-18, Warriors, , • Ronny Turiaf, sprained left knee (DNP)
2009-12-18, Warriors, , • Mikki Moore, surgery on right ankle to remove bone spurs (out indefinitely)
2009-12-18, Warriors, , • Mikki Moore, recovering from surgery on right ankle to remove bone spurs (DNP)
2009-12-19, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2009-12-19, Kings, , • Jon Brockman, strained lower back (DNP)
2009-12-19, Knicks, , • Marcus Landry, mouth injury (DNP)
2009-12-19, Lakers, • Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga, , returned to lineup
2009-12-19, Rockets, , • Carl Landry, dental surgery (DTD)
2009-12-19, Spurs, , • Matt Bonner, broken bone in right hand (out indefinitely)
2009-12-20, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2009-12-20, Bobcats, , • Gerald Wallace, migraine headache (DNP)
2009-12-20, Pistons, , • Richard Hamilton, sore right hamstring (DNP)
2009-12-22, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2009-12-22, Blazers, , Joel Przybilla, ruptured patella tendon and dislocated right kneecap (out indefinitely)
2009-12-22, Celtics, , • Kevin Garnett, bruised right thigh (DNP)
2009-12-22, Knicks, , • Jonathan Bender, hip injury (DTD)
2009-12-22, Nets, , • Chris Douglas-Roberts, right ankle injury (DTD)
 Date, Team, Acquired, Relinquished, Notes
2009-12-22, Pistons, , • Richard Hamilton, sore right hamstring (DNP)
2009-12-22, Rockets, , • Chase Budinger, sprained right ankle (DNP)
2009-12-22, Warriors, , • Andris Biedrins, osteitis pubis (DNP)
2009-12-22, Warriors, , • Mikki Moore, recovering from surgery on right ankle to remove bone spurs (DNP)
2009-12-22, Warriors, , • Ronny Turiaf, sprained left knee (DNP)
2009-12-23, Blazers, , • Brandon Roy, sore left shoulder (DNP)
2009-12-23, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2009-12-23, Blazers, , Joel Przybilla, ruptured patella tendon and dislocated right kneecap (DNP)
2009-12-23, Bobcats, , • Tyson Chandler, left foot injury (DTD)
2009-12-23, Celtics, , • Paul Pierce, surgery on right knee to drain fluid (out indefinitely)
2009-12-23, Hornets, , • Sean Marks, calf injury (DTD)
2009-12-23, Nets, , • Rafer Alston, sore back (DNP)
2009-12-23, Pistons, , • Richard Hamilton, sore right hamstring (DNP)
2009-12-23, Warriors, , • Andris Biedrins, osteitis pubis (DNP)
2009-12-23, Warriors, , • Mikki Moore, recovering from surgery on right ankle to remove bone spurs (DNP)
2009-12-23, Warriors, , • Ronny Turiaf, sore left knee (DNP)
2009-12-25, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2009-12-25, Blazers, , Joel Przybilla, surgery on right knee to repair ruptured patella tendon (out for season)
2009-12-25, Blazers, , Joel Przybilla, recovering from surgery on right knee to repair ruptured patella tendon (DNP)
2009-12-26, Kings, , • Sean May, strained right hand (DNP)
2009-12-26, Lakers, , • Ron Artest / Metta World Peace, concussion (DNP)
2009-12-26, Mavericks, , • Drew Gooden, back spasms (DNP)
2009-12-26, Nets, , • Rafer Alston, sore back (DNP)
2009-12-26, Thunder, , • D.J. White, DNP
2009-12-26, Thunder, , • Etan Thomas, flu-like symptoms (DNP)
 Date, Team, Acquired, Relinquished, Notes
2009-12-26, Thunder, , • Kyle Weaver, recovering from surgery on separated left shoulder (DNP)
2009-12-26, Warriors, , • Andris Biedrins, strained lower back (DNP)
2009-12-26, Warriors, , • Mikki Moore, recovering from surgery on right ankle to remove bone spurs (DNP)
2009-12-28, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2009-12-28, Blazers, , Joel Przybilla, recovering from surgery on right knee to repair ruptured patella tendon (DNP)
2009-12-28, Grizzlies, , • Rudy Gay, sprained left ankle (DNP)
2009-12-28, Kings, , • Tyreke Evans, sprained right ankle (DNP)
2009-12-28, Lakers, , • Ron Artest / Metta World Peace, concussion (DNP)
2009-12-28, Nets, , Josh Boone, sore left knee (DNP)
2009-12-28, Warriors, , • Mikki Moore, recovering from surgery on right ankle to remove bone spurs (DNP)
2009-12-29, Lakers, , • Ron Artest / Metta World Peace, concussion (DNP)
2009-12-29, Pacers, , • Tyler Hansbrough, ear infection (DNP)
2009-12-29, Warriors, , • Mikki Moore, recovering from surgery on right ankle to remove bone spurs (DNP)
2009-12-29, Rockets, , • Chase Budinger, sprained right ankle (DNP)
2009-12-30, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2009-12-30, Blazers, , Joel Przybilla, recovering from surgery on right knee to repair ruptured patella tendon (DNP)
2009-12-30, Celtics, , • Kevin Garnett, sore right knee (DNP)
2009-12-30, Jazz, , • Kyle Korver, recovering from surgery on left knee to remove bone spur (DNP)
2009-12-30, Kings, , • Tyreke Evans, sprained right ankle (DNP)
2009-12-30, Pacers, , • Troy Murphy, sprained left ankle (DNP)
2009-12-30, Pacers, , • Tyler Hansbrough, ear infection (DNP)
2009-12-31, Rockets, , • Chase Budinger, sprained right ankle (DNP)
2010-01-01, Blazers, , • Steve Blake, pneumonia (DTD)
2010-01-01, Celtics, , • Rajon Rondo, strained left hamstring (DTD)
2010-01-01, Kings, , • Tyreke Evans, sprained right ankle (DNP)
 Date, Team, Acquired, Relinquished, Notes
2010-01-01, Lakers, , • Ron Artest / Metta World Peace, concussion (DNP)
2010-01-02, Blazers, , • LaMarcus Aldridge, sprained left ankle (DNP)
2010-01-02, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2010-01-02, Blazers, , • Steve Blake, pneumonia (DNP)
2010-01-02, Blazers, , Joel Przybilla, recovering from surgery on right knee to repair ruptured patella tendon (DNP)
2010-01-02, Celtics, , • Rajon Rondo, strained left hamstring (DNP)
2010-01-02, Jazz, , • Kyle Korver, recovering from surgery on left knee to remove bone spur (DNP)
2010-01-02, Nuggets, , • Carmelo Anthony, bruised right knee (DNP)
2010-01-02, Pacers, , • Troy Murphy, sprained left ankle (DNP)
2010-01-02, Pacers, , • Tyler Hansbrough, ear infection (DNP)
2010-01-02, Rockets, , • Chase Budinger, sprained right ankle (DNP)
2010-01-02, Warriors, , • Mikki Moore, bone spurs in right heel (DNP)
2010-01-04, Blazers, , • LaMarcus Aldridge, sprained left ankle (DNP)
2010-01-04, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2010-01-04, Blazers, , • Steve Blake, pneumonia (DNP)
2010-01-05, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2010-01-05, Blazers, , • Steve Blake, pneumonia (DNP)
2010-01-05, Cavaliers, , Jamario Moon, abdominal strain (out indefinitely)
2010-01-05, Lakers, , • Pau Gasol, strained left hamstring (DNP)
2010-01-05, Lakers, , • Ron Artest / Metta World Peace, concussion (DNP)
2010-01-05, Nuggets, , • Carmelo Anthony, bruised right knee (DNP)
2010-01-05, Nuggets, , • Chris Andersen, sprained ankle (DNP)
2010-01-05, Pacers, , • Troy Murphy, sprained left ankle (DNP)
2010-01-05, Wizards, , • Brendan Haywood, flu (DNP)
2010-01-06, Lakers, , • Pau Gasol, strained left hamstring (DNP)
 Date, Team, Acquired, Relinquished, Notes
2010-01-06, Magic, , • Anthony Johnson, strained groin (DNP)
2010-01-06, Timberwolves, , • Ryan Hollins, upper respiratory infection (DNP)
2010-01-06, Wizards, , • Mike Miller, DNP
2010-01-08, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2010-01-08, Blazers, , • Steve Blake, pneumonia (DNP)
2010-01-08, Celtics, , • Tony Allen, flu-like symptoms (DNP)
2010-01-08, Kings, , • Donte Greene, sprained left ankle (DNP)
2010-01-08, Lakers, , • Pau Gasol, strained right hamstring (DNP)
2010-01-08, Nuggets, , • Ty Lawson, sprained left ankle (DNP)
2010-01-09, Grizzlies, , • Mike Conley Jr., body soreness / sore back (DNP)
2010-01-09, Kings, , • Donte Greene, sprained left ankle (DNP)
2010-01-09, Mavericks, , • Drew Gooden, sprained right ring finger (DTD)
2010-01-09, Mavericks, , • Josh Howard, bruised left thigh (DTD)
2010-01-09, Nuggets, , • Ty Lawson, sprained left ankle (DNP)
2010-01-10, Blazers, , • Rudy Fernandez, recovering from surgery on back to repair nerve pressure (DNP)
2010-01-10, Bucks, , • Michael Redd, torn ACL and MCL in left knee (out for season)
2010-01-10, Lakers, , • Pau Gasol, strained right hamstring (DNP)
2010-01-11, Celtics, , • Rasheed Wallace, sore left foot (DNP)
2010-01-11, Hornets, , • Darren Collison, bruised right knee (DNP)
2010-01-11, Jazz, , • Ronnie Price, left shoulder tendinitis (DNP)
2010-01-11, Warriors, , • Anthony Randolph, sprained left ankle (DNP)
2010-01-12, Pistons, , • Ben Gordon, strained right groin (DNP)
2010-01-13, Celtics, , • Rasheed Wallace, sore left foot (DNP)
2010-01-13, Hornets, , • Darren Collison, bruised right knee (DNP)
2010-01-13, Spurs, , • Tim Duncan, rest (DNP)
 Date, Team, Acquired, Relinquished, Notes
2010-01-13, Warriors, , • Anthony Randolph, sprained left ankle (DNP)
2010-01-13, Warriors, , • Ronny Turiaf, sprained right ankle (DNP)
2010-01-14, Celtics, , • Rasheed Wallace, sore left foot (DNP)
2010-01-14, Jazz, , • Kyrylo Fesenko, sprained left ankle (DTD)
2010-01-15, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-01-15, Hornets, , • Morris Peterson, back spasms (DNP)
2010-01-15, Pistons, , • Ben Gordon, strained right groin (DNP)
2010-01-15, Raptors, , • Marco Belinelli, illness (DTD)
2010-01-15, Warriors, , • Anthony Randolph, sprained left ankle (DNP)
2010-01-15, Warriors, , • C.J. Watson, lacerated right hand (DNP)
2010-01-15, Warriors, , • Ronny Turiaf, sprained right ankle (DNP)
2010-01-15, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
2010-01-16, Clippers, , • Al Thornton, sprained left ankle (DNP)
2010-01-16, Hornets, , • Morris Peterson, back spasms (DNP)
2010-01-16, Pistons, , • Ben Gordon, strained right groin (DNP)
2010-01-16, Spurs, , • Antonio McDyess, back spasms / neck injury (CBC) (DNP)
2010-01-18, Blazers, , • Brandon Roy, sore right hamstring (DNP)
2010-01-18, Blazers, , • Patrick Mills / Patty Mills, right hamstring injury (DNP)
2010-01-18, Bulls, , • Kirk Hinrich, flu (DNP)
2010-01-18, Knicks, , • Eddy Curry, arthroscopic surgery on left knee to remove loose cartilage (out indefinitely)
2010-01-18, Nets, , • Tony Battie, calf injury (DTD)
2010-01-18, Pistons, , • Richard Hamilton, upset stomach (DNP)
2010-01-18, Warriors, , • Anthony Morrow, sprained right knee (DNP)
2010-01-18, Warriors, , • C.J. Watson, lacerated right hand (DNP)
2010-01-18, Warriors, , • Ronny Turiaf, sprained right ankle (DNP)
 Date, Team, Acquired, Relinquished, Notes
2010-01-18, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
2010-01-20, Bulls, , • John Salmons, flu-like symptoms (DNP)
2010-01-20, Clippers, , • Blake Griffin, surgery on left knee to repair fractured kneecap (our for season)
2010-01-20, Pistons, , • Ben Gordon, strained right groin (DNP)
2010-01-20, Warriors, , • Anthony Morrow, sprained right knee (DNP)
2010-01-20, Warriors, , • C.J. Watson, lacerated right hand (DNP)
2010-01-20, Warriors, , • Ronny Turiaf, sprained right ankle (DNP)
2010-01-20, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
2010-01-21, Clippers, , • Eric Gordon, sprained left big toe (DNP)
2010-01-21, Thunder, , • D.J. White, surgery to repair fractured right thumb (out indefinitely)
2010-01-22, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-01-22, Bulls, • John Salmons, , returned to lineup
2010-01-22, Cavaliers, , • Delonte West, broken left ring finger (DTD)
2010-01-22, Celtics, , Brian Scalabrine, right shoulder injury (DTD)
2010-01-22, Celtics, , Brian Scalabrine, sore right shoulder (DNP)
2010-01-22, Hawks, , • Joe Smith, illness (DTD)
2010-01-22, Heat, , • Daequan Cook, ankle injury (DTD)
2010-01-22, Raptors, , • Andrea Bargnani, back injury (DTD)
2010-01-22, Warriors, , • Anthony Morrow, sprained right knee (DNP)
2010-01-22, Warriors, , • C.J. Watson, lacerated right hand (DNP)
2010-01-22, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
2010-01-23, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-01-23, Blazers, , • Jerryd Bayless, sprained left ankle (DNP)
2010-01-23, Bulls, , • Joakim Noah, plantar fasciaitis (DNP)
2010-01-23, Cavaliers, , • Delonte West, broken left ring finger (DNP)
 Date, Team, Acquired, Relinquished, Notes
2010-01-23, Warriors, , • Anthony Morrow, sprained right knee (DNP)
2010-01-23, Warriors, , • Monta Ellis, sprained right ankle (DNP)
2010-01-23, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
2010-01-23, Suns, , • Leandro Barbosa, surgery on wrist to remove cyst (out indefinitely)
2010-01-23, Suns, , • Leandro Barbosa, recovering from surgery on wrist to remove cyst (DNP)
2010-01-24, Knicks, , • Nate Robinson, hamstring injury (DNP)
2010-01-25, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-01-25, Celtics, , Brian Scalabrine, sore right shoulder (DNP)
2010-01-25, Hornets, , • Morris Peterson, back spasms (DNP)
2010-01-25, Jazz, , • Kyrylo Fesenko, sprained left ankle (DNP)
2010-01-26, Suns, , • Grant Hill, bruised heel (DNP)
2010-01-26, Warriors, , • Anthony Morrow, sprained right knee (DNP)
2010-01-26, Warriors, , • Monta Ellis, sprained right ankle (DNP)
2010-01-27, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-01-27, Jazz, , • Kyrylo Fesenko, sprained left ankle (DNP)
2010-01-27, Warriors, , • Anthony Morrow, sprained right knee (DNP)
2010-01-28, Spurs, , • (William) Tony Parker, left ankle injury (DTD)
2010-01-29, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-01-29, Hornets, , • James Posey, strained right Achilles tendon (DNP)
2010-01-29, Jazz, , • Carlos Boozer, strained right calf muscle (DNP)
2010-01-29, Jazz, , • Kyrylo Fesenko, sprained left ankle (DNP)
2010-01-29, Thunder, • Kevin Ollie, , returned to lineup
2010-01-29, Warriors, , • Anthony Morrow, sprained right knee (DNP)
2010-01-30, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-01-30, Hornets, , • Chris Paul, bruised left knee (DNP)
 Date, Team, Acquired, Relinquished, Notes
2010-01-30, Hornets, , • James Posey, strained right Achilles tendon (DNP)
2010-01-30, Knicks, , • Al Harrington, sore left knee (DNP)
2010-01-31, Knicks, , • Al Harrington, sore left knee (DNP)
2010-01-31, Pistons, , • Charlie Villanueva, back spasms (DNP)
2010-01-31, Rockets, , • Kyle Lowry, sprained left knee (DNP)
2010-01-31, Warriors, , • Anthony Morrow, sprained right knee (DNP)
2010-02-01, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-02-01, Bucks, , Francisco Elson, surgery to repair hernia
2010-02-01, Hornets, , • Chris Paul, bruised left knee (DNP)
2010-02-02, Celtics, , J.R. Giddens, arthroscopic surgery on left knee (out indefinitely)
2010-02-02, Magic, , • Jameer Nelson, hyperextended left knee (DNP)
2010-02-02, Magic, , Mickael Pietrus, sprained right ankle (DNP)
2010-02-02, Raptors, , • Hidayet Turkoglu / Hedo Turkoglu, fractured right orbital bone (DNP)
2010-02-02, Rockets, , • Kyle Lowry, sprained left knee (DNP)
2010-02-02, Warriors, , • Anthony Morrow, sprained right knee (DNP)
2010-02-02, Warriors, , Corey Maggette, left hip pointer (DNP)
2010-02-03, 76ers, , • Jason Kapono, migraine headache (DTD)
2010-02-03, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-02-03, Bobcats, , • Gerald Wallace, strained left hamstring (DNP)
2010-02-03, Celtics, , • Paul Pierce, sprained left foot (DNP)
2010-02-03, Hornets, , • Chris Paul, bruised left knee (DNP)
2010-02-03, Raptors, , • DeMar DeRozan, sprained right ankle (DNP)
2010-02-03, Raptors, , • Hidayet Turkoglu / Hedo Turkoglu, fractured right orbital bone (DNP)
2010-02-03, Warriors, , • Anthony Morrow, sprained right knee (DNP)
2010-02-03, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
 Date, Team, Acquired, Relinquished, Notes
2010-02-04, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-02-04, Bulls, , • Joakim Noah, plantar fasciaitis in left foot (out indefinitely)
2010-02-04, Hornets, , • Chris Paul, surgery on left knee to repair torn meniscus
2010-02-04, Nuggets, , Renaldo Balkman, back injury (DTD)
2010-02-05, Celtics, , • Paul Pierce, sprained left foot (DNP)
2010-02-05, Hornets, , • Marcus Thornton (T.), bruised lower back (DNP)
2010-02-05, Pacers, , Luther Head, viral infection (DNP)
2010-02-06, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-02-06, Bobcats, , • Alexis Ajinca / Alex Ajinca, surgery on thumb (out indefinitely)
2010-02-06, Hornets, , • Marcus Thornton (T.), bruised lower back (DNP)
2010-02-06, Knicks, , • Larry Hughes, strained left big toe (DNP)
2010-02-06, Nuggets, , • Chauncey Billups, sprained ankle (DNP)
2010-02-06, Pacers, , Luther Head, viral infection (DNP)
2010-02-06, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
2010-02-08, Hornets, , • Marcus Thornton (T.), sore lower back (DNP)
2010-02-08, Lakers, , • Andrew Bynum, bruised right hip (DNP)
2010-02-08, Warriors, , • Devean George, stomach flu (DNP)
2010-02-08, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
2010-02-08, Warriors, , Corey Maggette, dislocated left fing finger (DNP)
2010-02-09, 76ers, • Jason Kapono, , returned to lineup
2010-02-09, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-02-09, Knicks, , • Larry Hughes, sprained left big toe (DNP)
2010-02-09, Mavericks, , • Shawn Marion, sore lower back (DNP)
2010-02-09, Nets, , • Chris Douglas-Roberts, back spasms (DTD)
2010-02-09, Nuggets, , • Kenyon Martin, left knee tendinitis (DNP)
 Date, Team, Acquired, Relinquished, Notes
2010-02-09, Pacers, , • A.J. Price, concussion (DTD)
2010-02-09, Rockets, , • Trevor Ariza, left hip pointer (DNP)
2010-02-10, Blazers, , • Brandon Roy, strained right hamstring (DNP)
2010-02-10, Hawks, , • Jamal Crawford, sore left shoulder (DNP)
2010-02-10, Lakers, , • Andrew Bynum, bruised right hip (DNP)
2010-02-10, Warriors, , • Monta Ellis, sprained left knee (DNP)
2010-02-10, Warriors, , Corey Maggette, dislocated left fing finger (DNP)
2010-02-11, Nuggets, , • Kenyon Martin, patella tendinitis in left knee (DNP)
2010-02-16, Knicks, , • Nate Robinson, flu-like symptoms (DNP)
2010-02-16, Lakers, , • Luke Walton, back injury (DNP)
2010-02-16, Nuggets, , • George Karl, head coach diagnosed with neck and throat cancer
2010-02-16, Pacers, , • Jeff Foster, surgery on back (out for season)
2010-02-16, Warriors, , • Monta Ellis, sprained left knee (DNP)
2010-02-16, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
2010-02-17, Clippers, , • Baron Davis, sore lower back (DNP)
2010-02-17, Knicks, , • Nate Robinson, flu-like symptoms (DNP)
2010-02-17, Mavericks, , • Erick Dampier, surgery to repair dislocated right middle finger
2010-02-17, Mavericks, , • Erick Dampier, dislocated right middle finger (DNP)
2010-02-17, Warriors, , • Monta Ellis, sprained left knee (DNP)
2010-02-18, Raptors, , • Chris Bosh, left ankle injury (DTD)
2010-02-19, 76ers, , • Willie Green, left shoulder injury (DNP)
2010-02-19, Bobcats, , • Tyson Chandler, sore left foot and ankle (DNP)
2010-02-19, Grizzlies, , • Ronnie Brewer, partially torn right hamstring (DTD)
2010-02-19, Hornets, , • Darius Songaila, sprained right ankle (DNP)
2010-02-19, Kings, , • Jon Brockman, right knee injury (DTD)
 Date, Team, Acquired, Relinquished, Notes
2010-02-19, Mavericks, , • Erick Dampier, recovering from surgery to repair dislocated right middle finger (DNP)
2010-02-19, Nuggets, , • Chris Andersen, strained lower back (DNP)
2010-02-19, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
2010-02-20, 76ers, , • Willie Green, strained left shoulder (DNP)
2010-02-20, Bobcats, , • Tyson Chandler, sore left foot and ankle (DNP)
2010-02-20, Clippers, , • Baron Davis, sore lower back (DNP)
2010-02-20, Knicks, , J.R. Giddens, recovering from surgery on left knee (DNP)
2010-02-20, Mavericks, , • Erick Dampier, recovering from surgery to repair dislocated right middle finger (DNP)
2010-02-20, Rockets, , • Jared Jeffries, sore right knee (DNP)
2010-02-21, Hornets, , • Darius Songaila, sprained right ankle (DNP)
2010-02-21, Warriors, , • Ronny Turiaf, flu-like symptoms / sinus infection (DNP)
2010-02-21, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
2010-02-21, Warriors, , Corey Maggette, strained left hamstring (DNP)
2010-02-22, Bobcats, , • Nazr Mohammed, back spasms (DNP)
2010-02-22, Bobcats, , • Tyson Chandler, sore left foot and ankle (DNP)
2010-02-22, Jazz, , • Andrei Kirilenko, back spasms (DNP)
2010-02-22, Jazz, , • Deron Williams, bruised right quadricep (DNP)
2010-02-22, Knicks, , J.R. Giddens, recovering from surgery on left knee (DNP)
2010-02-22, Mavericks, , • Erick Dampier, recovering from surgery to repair dislocated right middle finger (DNP)
2010-02-22, Pacers, • A.J. Price, , returned to lineup
2010-02-23, 76ers, , • Willie Green, strained left shoulder (DNP)
2010-02-23, Knicks, , J.R. Giddens, recovering from surgery on left knee (DNP)
2010-02-23, Lakers, , • Luke Walton, pinched nerve in back (DNP)
2010-02-23, Suns, , • Steve Nash, sore lower back (DNP)
2010-02-23, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
 Date, Team, Acquired, Relinquished, Notes
2010-02-23, Warriors, , Corey Maggette, strained left hamstring (DNP)
2010-02-23, Wizards, , • Josh Howard, torn ACL in left knee (out for season)
2010-02-23, 76ers, , • Jason Smith, sprained right ankle (DNP)
2010-02-24, 76ers, , • Jason Smith, sprained right ankle (DNP)
2010-02-24, 76ers, , • Willie Green, strained left shoulder (DNP)
2010-02-24, Blazers, , • Marcus Camby, sprained right ankle (DNP)
2010-02-24, Bobcats, , • Nazr Mohammed, back spasms (DNP)
2010-02-24, Bobcats, , • Tyson Chandler, sore left foot and ankle (DNP)
2010-02-24, Hornets, , • Darius Songaila, sprained right ankle (DNP)
2010-02-24, Jazz, , • Andrei Kirilenko, back spasms (DNP)
2010-02-24, Lakers, , • Luke Walton, pinched nerve in back (DNP)
2010-02-24, Mavericks, , • Caron Butler, reaction to medication (DNP)
2010-02-25, Kings, , • Jason Thompson, fractured lower back (out indefinitely)
2010-02-25, Warriors, , • C.J. Watson, flu-like symptoms (DNP)
2010-02-25, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
2010-02-25, Warriors, , Corey Maggette, strained left hamstring (DNP)
2010-02-26, 76ers, , • Jason Smith, sprained right ankle (DNP)
2010-02-26, 76ers, , • Willie Green, bruised left shoulder (DNP)
2010-02-26, Bobcats, , • Nazr Mohammed, back spasms (DNP)
2010-02-26, Bobcats, , • Tyson Chandler, sore left foot and ankle (DNP)
2010-02-26, Hornets, , • Darius Songaila, sprained right ankle (DNP)
2010-02-26, Knicks, , J.R. Giddens, recovering from surgery on left knee (DNP)
2010-02-26, Lakers, , • Luke Walton, pinched nerve in back (DNP)
2010-02-26, Mavericks, , • Caron Butler, reaction to medication (DNP)
2010-02-26, Nuggets, , • Kenyon Martin, bruised left knee (DNP)
 Date, Team, Acquired, Relinquished, Notes
2010-02-27, Bulls, , • Joakim Noah, plantar fasciaitis in left foot (DNP)
2010-02-27, Jazz, , • Andrei Kirilenko, back spasms (DNP)
2010-02-27, Knicks, , J.R. Giddens, recovering from surgery on left knee (DNP)
2010-02-27, Rockets, , • Shane Battier, flu-like symptoms (DNP)
2010-02-27, Warriors, , • Monta Ellis, sore back (DNP)
2010-02-27, Warriors, , • Vladimir Radmanovic, sore right Achilles tendon (DNP)
2010-02-27, Warriors, , Corey Maggette, strained left hamstring (DNP)
2010-02-28, Hornets, , • Darius Songaila, sprained right ankle (DNP)
2010-02-28, Lakers, , • Luke Walton, pinched nerve in back (DNP)
2010-03-01, 76ers, , • Elton Brand, right Achilles tendinitis (DNP)
2010-03-01, Bobcats, , • Nazr Mohammed, back spasms (DNP)
2010-03-01, Bobcats, , • Tyson Chandler, sore left foot (DNP)
2010-03-01, Bulls, , • Luol Deng, swollen left knee (DNP)
2010-03-01, Cavaliers, , • Shaquille O'Neal, surgery on right thumb (out indefinitely)
2010-03-01, Grizzlies, , • Steven Hunter, sore left knee (DNP)
2010-03-01, Hornets, , • Darius Songaila, sprained right ankle (DNP)
2010-03-01, Knicks, , J.R. Giddens, recovering from surgery on left knee (DNP)
